,Player,Team,Games Played
0,Joel Embiid,PHI,6
1,Jalen Brunson,NYK,13
2,Shai Gilgeous-Alexander,OKC,10
3,Tyrese Maxey,PHI,6
4,Donovan Mitchell,CLE,10
5,Luka Doncic,DAL,22
6,Nikola Jokic,DEN,12
7,Anthony Davis,LAL,5
8,LeBron James,LAL,5
9,Anthony Edwards,MIN,16
10,Devin Booker,PHX,4
11,Paolo Banchero,ORL,7
12,Kevin Durant,PHX,4
13,Jayson Tatum,BOS,19
14,Khris Middleton,MIL,6
15,Jaylen Brown,BOS,19
16,Bam Adebayo,MIA,5
17,Kyrie Irving,DAL,22
18,Pascal Siakam,IND,17
19,James Harden,LAC,6
20,Jamal Murray,DEN,12
21,Paul George,LAC,6
22,Karl-Anthony Towns,MIN,16
23,Franz Wagner,ORL,7
24,Jalen Williams,OKC,10
25,Tyrese Haliburton,IND,15
26,Donte DiVincenzo,NYK,13
27,CJ McCollum,NOP,4
28,Brook Lopez,MIL,6
29,Myles Turner,IND,17
30,Austin Reaves,LAL,5
31,Tyler Herro,MIA,5
32,Derrick White,BOS,19
33,Bobby Portis,MIL,6
34,Bradley Beal,PHX,4
35,Ivica Zubac,LAC,6
36,Evan Mobley,CLE,12
37,Michael Porter Jr.,DEN,12
38,Darius Garland,CLE,12
39,Chet Holmgren,OKC,10
40,Andrew Nembhard,IND,17
41,Jalen Suggs,ORL,7
42,Josh Hart,NYK,13
43,Jonas Valanciunas,NOP,4
44,Aaron Gordon,DEN,12
45,Brandon Ingram,NOP,4
46,D'Angelo Russell,LAL,5
47,Kelly Oubre Jr.,PHI,6
48,Jrue Holiday,BOS,19
49,Herbert Jones,NOP,4
50,P.J. Washington,DAL,22
51,Norman Powell,LAC,6
52,Jaime Jaquez Jr.,MIA,4
53,Jaden McDaniels,MIN,16
54,Rudy Gobert,MIN,15
55,T.J. McConnell,IND,17
56,Caleb Martin,MIA,5
57,Mike Conley,MIN,15
58,Trey Murphy III,NOP,4
59,Naz Reid,MIN,16
60,Miles McBride,NYK,13
61,Obi Toppin,IND,17
62,Luguentz Dort,OKC,10
63,Aaron Nesmith,IND,17
64,Caris LeVert,CLE,11
65,Max Strus,CLE,12
66,Nikola Jovic,MIA,5
67,Terance Mann,LAC,6
68,Al Horford,BOS,19
69,Derrick Jones Jr.,DAL,22
70,Naji Marshall,NOP,4
71,Tobias Harris,PHI,6
72,Daniel Gafford,DAL,22
73,Malik Beasley,MIL,6
74,Josh Giddey,OKC,10
75,Isaiah Hartenstein,NYK,13
76,Patrick Beverley,MIL,6
77,Kentavious Caldwell-Pope,DEN,12
78,Delon Wright,MIA,4
79,Eric Gordon,PHX,4
80,Dereck Lively II,DAL,21
81,Rui Hachimura,LAL,5
82,Jusuf Nurkic,PHX,4
83,Wendell Carter Jr.,ORL,7
84,Taurean Prince,LAL,5
85,Nickeil Alexander-Walker,MIN,16
86,Kyle Lowry,PHI,6
87,Markelle Fultz,ORL,7
88,Payton Pritchard,BOS,19
89,Isaiah Joe,OKC,10
90,Nicolas Batum,PHI,6
91,Russell Westbrook,LAC,6
92,Jonathan Isaac,ORL,7
93,Moritz Wagner,ORL,7
94,Larry Nance Jr.,NOP,4
95,Aaron Wiggins,OKC,10
96,Marcus Morris Sr.,CLE,9
97,Drew Eubanks,PHX,3
98,Cameron Payne,PHI,5
99,Isaac Okoro,CLE,12
100,Sam Hauser,BOS,19
101,Ben Sheppard,IND,17
102,Cole Anthony,ORL,7
103,Christian Braun,DEN,12
104,Royce O'Neale,PHX,4
105,Josh Green,DAL,22
106,Haywood Highsmith,MIA,5
107,Pat Connaughton,MIL,6
108,Jaylin Williams,OKC,10
109,Kyle Anderson,MIN,15
110,Jaden Hardy,DAL,19
111,Cason Wallace,OKC,10
112,Gary Harris,ORL,6
113,Isaiah Jackson,IND,15
114,Josh Okogie,PHX,4
115,Reggie Jackson,DEN,12
116,Sam Merrill,CLE,10
117,Mason Plumlee,LAC,6
118,Spencer Dinwiddie,LAL,5
119,Justin Holiday,DEN,12
120,AJ Green,MIL,6
121,Amir Coffey,LAC,6
122,Georges Niang,CLE,10
123,Duncan Robinson,MIA,5
124,Andre Jackson Jr.,MIL,5
125,Dante Exum,DAL,21
126,Kevin Love,MIA,5
127,Peyton Watson,DEN,10
128,Jose Alvarado,NOP,4
129,Nassir Little,PHX,4
130,Joe Ingles,ORL,7
131,Paul Reed,PHI,6
132,Tristan Thompson,CLE,10
133,Gabe Vincent,LAL,5
134,Dyson Daniels,NOP,3
135,Bol Bol,PHX,3
136,Kenrich Williams,OKC,7
137,Jaxson Hayes,LAL,4
138,Gordon Hayward,OKC,7
139,Jordan Hawkins,NOP,3
